Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,82.08999633789062,82.13999938964844,79.95999908447266,80.13999938964844,70.7059097290039,2049100
2020-01-03,79.63999938964844,81.66000366210938,79.55000305175781,81.55000305175781,71.94993591308594,1687000
2020-01-06,82.08999633789062,83.22000122070312,81.66000366210938,82.79000091552734,73.04396057128906,2201200
2020-01-07,82.48999786376953,82.54000091552734,81.23999786376953,82.25,72.56753540039062,1239500
2020-01-08,81.91999816894531,82.36000061035156,81.45999908447266,82.2699966430664,72.58516693115234,2016800
2020-01-09,82.13999938964844,82.76000213623047,81.79000091552734,82.45999908447266,72.75279998779297,1211900
2020-01-10,82.52999877929688,83.04000091552734,82.3499984741211,82.80000305175781,73.05278778076172,1897400
2020-01-13,82.61000061035156,84.19999694824219,82.61000061035156,84.06999969482422,74.17327880859375,1563800
2020-01-14,83.83999633789062,84.06999969482422,83.05000305175781,84.02999877929688,74.13799285888672,2365700
2020-01-15,84.25,85.19999694824219,84.13999938964844,84.94999694824219,74.94967651367188,1726500
2020-01-16,84.95999908447266,86.75,84.72000122070312,86.55000305175781,76.36132049560547,1851700
2020-01-17,86.6500015258789,86.91999816894531,86.05999755859375,86.38999938964844,76.22015380859375,2177900
2020-01-21,86.47000122070312,87.81999969482422,86.4000015258789,87.80000305175781,77.46418762207031,1707700
2020-01-22,88.0,88.11000061035156,85.87999725341797,86.0,75.87606811523438,2116100
2020-01-23,86.11000061035156,87.27999877929688,85.79000091552734,87.23999786376953,76.97008514404297,2335100
2020-01-24,87.30000305175781,87.37999725341797,86.4000015258789,86.94999694824219,76.7142333984375,1479000
2020-01-27,86.62000274658203,87.26000213623047,86.45999908447266,86.87000274658203,76.6436538696289,1601000
2020-01-28,86.80999755859375,87.16999816894531,86.5199966430664,86.75,76.53778839111328,1341900
2020-01-29,86.97000122070312,87.20999908447266,86.30000305175781,86.52999877929688,76.34367370605469,1548100
2020-01-30,86.19000244140625,86.36000061035156,85.23999786376953,85.4000015258789,75.3467025756836,3210100
2020-01-31,85.55999755859375,85.58000183105469,84.45999908447266,84.91000366210938,74.91439819335938,2419200
2020-02-03,85.11000061035156,85.31999969482422,84.25,84.45999908447266,74.51737213134766,2770500
2020-02-04,84.63999938964844,85.87999725341797,84.22000122070312,84.94999694824219,74.94967651367188,1915000
2020-02-05,84.62000274658203,84.8499984741211,83.76000213623047,84.01000213623047,74.12033081054688,1738400
2020-02-06,84.44999694824219,85.3499984741211,84.02999877929688,84.66999816894531,74.70265197753906,2256200
2020-02-07,84.66999816894531,85.0999984741211,84.0199966430664,84.12999725341797,74.2262191772461,1581700
2020-02-10,84.5999984741211,85.54000091552734,84.36000061035156,85.12000274658203,75.09967041015625,1834600
2020-02-11,85.05000305175781,85.69999694824219,84.41999816894531,84.9000015258789,74.90557098388672,1891700
2020-02-12,84.94000244140625,86.0199966430664,84.7300033569336,85.86000061035156,75.75255584716797,1412500
2020-02-13,85.7699966430664,88.2300033569336,85.68000030517578,87.69999694824219,77.37594604492188,2650800
2020-02-14,88.25,89.37000274658203,88.0,89.31999969482422,78.80524444580078,2484500
2020-02-18,89.31999969482422,89.98999786376953,88.97000122070312,89.83999633789062,79.26402282714844,2991600
2020-02-19,89.7699966430664,89.7699966430664,87.54000091552734,87.73999786376953,77.4112319946289,2193400
2020-02-20,87.80999755859375,88.12999725341797,86.9000015258789,88.0199966430664,77.65827941894531,3168400
2020-02-21,87.36000061035156,88.16999816894531,87.0,87.11000061035156,77.62265014648438,2202000
